idno,netustm,ppltrst,vote,prtvtddk,lvpntyr,tygrtr,gndr,yrbrn,edlvddk,eduyrs,wkhct,wkhtot,grspnum,frlgrsp,inwtm
110,180,8,Yes,Socialdemokratiet - The Social democrats,1968,Never too young,Male,1949,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",9,28,28,Not applicable,Not applicable,119
705,60,5,Yes,Det Konservative Folkeparti - Conservative People's Party,1976,67,Male,1958,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",22,37,45,Not applicable,Not applicable,55
1327,240,5,Don't know,Not applicable,"Still in parental home, never left 2 months",Don't know,Male,2000,Folkeskole 9.-10. klasse,11,37,37,No answer,No answer,37
3760,300,7,Not eligible to vote,Not applicable,"Still in parental home, never left 2 months",40,Male,2002,Folkeskole 9.-10. klasse,9,2,2,200,Not applicable,43
4658,90,8,Yes,Refusal,1974,50,Female,1956,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",4,30,30,Not applicable,Not applicable,62
5816,90,7,Yes,SF Socialistisk Folkeparti - Socialist People's Party,1994,60,Male,1974,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",35,37,37,37000,35000,61
7251,300,5,Yes,Dansk Folkeparti - Danish People's Party,1993,40,Female,1975,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,32,34,22000,30000,68
7887,360,8,Yes,Socialdemokratiet - The Social democrats,1983,55,Male,1958,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",25,39,39,36000,42000,89
9607,540,9,Yes,Alternativet - The Alternative,1982,64,Female,1964,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",13,32,34,32000,Not applicable,50
11123,150,7,Yes,Socialdemokratiet - The Social democrats,1994,45,Male,1974,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",16,37,37,9000,Not applicable,62
11688,Not applicable,5,Yes,Socialdemokratiet - The Social democrats,1968,50,Female,1952,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",2,37,37,Not applicable,Not applicable,77
12355,120,5,Yes,Socialdemokratiet - The Social democrats,1987,60,Male,1963,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,38,37,36000,38000,48
16357,488,5,Yes,Dansk Folkeparti - Danish People's Party,2013,50,Male,1991,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",4,37,37,40000,Not applicable,50
17504,210,4,Yes,Dansk Folkeparti - Danish People's Party,2001,45,Female,1984,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,Not applicable,10,Not applicable,Not applicable,51
19970,240,9,Yes,Liberal Alliance - Liberal Alliance,1984,60,Female,1966,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",21,36,36,85000,Not applicable,42
20724,60,5,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1981,Never too young,Male,1958,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,40,28000,34000,65
22248,121,9,Yes,Socialdemokratiet - The Social democrats,1970,Never too young,Female,1950,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",19,37,37,Not applicable,Not applicable,62
24928,120,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1984,Should never retire permanently,Male,1965,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",19,Not applicable,80,50000,Not applicable,77
27000,390,5,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1971,65,Male,1956,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",12,Not applicable,60,90000,Not applicable,51
27211,120,7,Yes,Kristendemokraterne - Christian Democrats,1983,60,Male,1969,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,15,17,26000,Not applicable,99
27650,60,7,Yes,Refusal,1993,Don't know,Male,1967,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,37,7000,Not applicable,48
28202,60,7,Yes,Det Radikale Venstre - The Radical Liberal Party,2007,60,Male,1990,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",17,37,45,28000,35000,56
29156,Not applicable,8,Yes,Dansk Folkeparti - Danish People's Party,1944,60,Male,1932,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,60,60,Not applicable,Not applicable,88
29471,240,8,Yes,Det Radikale Venstre - The Radical Liberal Party,1984,50,Male,1966,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,42,42,40000,45000,46
31317,60,6,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1970,62,Female,1948,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",5,37,37,Not applicable,Not applicable,68
32191,90,8,Yes,Socialdemokratiet - The Social democrats,1964,60,Female,1956,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,37,37,34500,40000,80
33174,45,9,Yes,Alternativet - The Alternative,1970,55,Male,1949,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",18,30,32,Not applicable,Not applicable,50
33307,720,7,No,Not applicable,2013,48,Male,1991,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",17,20,20,Not applicable,Not applicable,68
34031,121,8,Yes,Det Konservative Folkeparti - Conservative People's Party,2007,64,Male,1987,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,Not applicable,50,No answer,No answer,111
34446,90,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1998,60,Female,1975,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",15,37,37,25000,30000,59
34955,240,6,Yes,Socialdemokratiet - The Social democrats,1980,50,Female,1963,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",15,37,37,33000,Not applicable,61
38221,240,7,Yes,Socialdemokratiet - The Social democrats,2000,45,Female,1982,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",15,30,30,24000,35000,61
38848,120,9,Yes,Socialdemokratiet - The Social democrats,2001,60,Female,1979,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",15,30,32,21000,25000,69
38971,Not applicable,6,Yes,Dansk Folkeparti - Danish People's Party,1997,60,Male,1980,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,55,37,44000,Not applicable,58
39619,45,8,Yes,Socialdemokratiet - The Social democrats,1963,50,Male,1942,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,37,37,Not applicable,Not applicable,57
40317,120,6,Yes,Det Konservative Folkeparti - Conservative People's Party,2011,55,Male,1989,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,40,6000,Not applicable,54
40476,390,7,Yes,Other,2017,70,Female,1998,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",13,30,32,No answer,No answer,81
42274,660,8,Yes,Refusal,1972,60,Female,1955,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",15,37,40,38500,42000,79
44490,170,9,Yes,Det Radikale Venstre - The Radical Liberal Party,2001,65,Female,1982,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",21,37,40,42000,Not applicable,39
46190,360,6,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1987,52,Male,1967,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,42,37000,Not applicable,59
46404,300,8,No,Not applicable,1984,50,Male,1965,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",14,37,45,92000,Not applicable,42
46606,300,8,Yes,Alternativet - The Alternative,2014,60,Female,1993,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",16,8,20,10000,Not applicable,66
47316,720,7,No,Not applicable,2018,65,Female,1998,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",13,8,30,No answer,No answer,49
48773,180,9,Yes,Socialdemokratiet - The Social democrats,1970,50,Female,1951,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",21,37,41,Not applicable,Not applicable,83
49450,180,8,Yes,SF Socialistisk Folkeparti - Socialist People's Party,2015,60,Male,1987,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",18,37,37,24000,Not applicable,48
50526,Not applicable,7,Yes,Refusal,1957,Never too young,Female,1942,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",10,37,37,Not applicable,Not applicable,92
52559,480,6,No,Not applicable,"Still in parental home, never left 2 months",40,Female,2001,Folkeskole 9.-10. klasse,10,3,3,No answer,No answer,43
53574,480,9,Yes,Socialdemokratiet - The Social democrats,2014,55,Male,1993,Universitetsbachelor. 1. del af kandidatuddannelse,17,15,18,14000,Not applicable,60
55481,540,8,Yes,Refusal,2002,58,Female,1984,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",19,37,37,39000,Not applicable,71
56690,62,2,Yes,Det Konservative Folkeparti - Conservative People's Party,1960,60,Female,1940,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,27,35,Not applicable,Not applicable,77
58403,270,8,Yes,Alternativet - The Alternative,1976,Don't know,Male,1955,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",5,37,37,450000,Not applicable,86
59410,10,8,Yes,Dansk Folkeparti - Danish People's Party,1986,60,Male,1968,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",15,37,40,30000,33000,66
59841,45,8,Yes,Alternativet - The Alternative,1989,55,Female,1972,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",24,37,37,45000,Not applicable,149
61995,30,6,Yes,Socialdemokratiet - The Social democrats,1996,60,Female,1977,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",16,30,34,19500,Not applicable,50
62055,Not applicable,2,No,Not applicable,Don't know,Never too young,Female,1935,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",3,25,25,Not applicable,Not applicable,57
62232,60,5,Yes,Dansk Folkeparti - Danish People's Party,1957,63,Male,1942,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",10,Not applicable,Don't know,Not applicable,Not applicable,65
62601,150,8,Yes,Socialdemokratiet - The Social democrats,1981,61,Female,1961,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,33,33,28000,35000,72
63738,121,5,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",2000,66,Male,1982,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,80,80,45000,Not applicable,59
64617,150,8,Yes,Socialdemokratiet - The Social democrats,"Still in parental home, never left 2 months",50,Female,1991,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,37,Not applicable,Not applicable,61
66405,60,7,Yes,Socialdemokratiet - The Social democrats,1969,62,Male,1949,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",11,37,50,Not applicable,Not applicable,70
66500,122,Most people can be trusted,Yes,Socialdemokratiet - The Social democrats,1996,Don't know,Male,1980,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",10,36,36,31000,Not applicable,54
66561,30,8,Yes,Socialdemokratiet - The Social democrats,1976,Never too young,Male,1957,Folkeskole 9.-10. klasse,9,37,37,35000,38000,35
68174,Not applicable,7,Yes,Dansk Folkeparti - Danish People's Party,1953,60,Male,1934,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",11,37,37,Not applicable,Not applicable,78
68781,150,9,Yes,SF Socialistisk Folkeparti - Socialist People's Party,1962,Never too young,Female,1945,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",20,Not applicable,Don't know,Not applicable,Not applicable,87
69758,45,3,Not eligible to vote,Not applicable,1992,Don't know,Male,1967,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",20,37,40,34000,40000,64
75245,240,7,Yes,Dansk Folkeparti - Danish People's Party,2008,60,Male,1985,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",17,Not applicable,40,50000,Not applicable,62
75287,120,8,Yes,Don't know,2018,65,Male,1995,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",16,8,8,Not applicable,Not applicable,53
75328,120,8,Yes,Det Radikale Venstre - The Radical Liberal Party,1997,58,Female,1978,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",9,37,39,Don't know,Not applicable,72
75393,30,9,Yes,Liberal Alliance - Liberal Alliance,1965,60,Male,1941,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",17,37,60,Not applicable,Not applicable,81
75408,480,7,No,Not applicable,2017,60,Male,2001,Folkeskole 9.-10. klasse,11,8,8,0,Not applicable,58
75478,300,7,Not eligible to vote,Not applicable,"Still in parental home, never left 2 months",55,Female,1998,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",13,15,15,6000,8000,54
75552,300,6,No,Not applicable,2011,40,Male,1989,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",15,37,55,35000,Not applicable,48
75748,720,7,Yes,Socialdemokratiet - The Social democrats,1987,60,Female,1973,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",4,37,37,33000,Not applicable,40
75839,30,3,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1958,64,Male,1938,Folkeskole 9.-10. klasse,15,40,40,Not applicable,Not applicable,48
75850,60,9,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1994,50,Female,1974,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",5,37,40,385000,42000,53
75969,180,6,No,Not applicable,2010,45,Female,2003,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,37,42,18000,24000,60
75971,90,7,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1978,60,Male,1953,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",15,18,18,250000,Not applicable,50
76109,240,5,Yes,Dansk Folkeparti - Danish People's Party,1983,65,Male,1967,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",11,37,37,280000,Not applicable,50
76113,600,6,Yes,Dansk Folkeparti - Danish People's Party,"Still in parental home, never left 2 months",55,Female,1995,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",18,Not applicable,7,Not applicable,Not applicable,52
76127,420,7,Not eligible to vote,Not applicable,"Still in parental home, never left 2 months",45,Female,2002,Folkeskole 9.-10. klasse,9,12,12,3700,Not applicable,51
76225,Not applicable,7,No,Not applicable,"Still in parental home, never left 2 months",17,Male,2001,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",10,10,10,2000,Not applicable,52
76259,420,5,Not eligible to vote,Not applicable,1969,Don't know,Male,1950,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",20,8,8,60000,No answer,134
76452,210,7,Not eligible to vote,Not applicable,2018,50,Female,1997,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",14,34,34,5000,Not applicable,60
76553,244,6,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1973,60,Male,1951,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",18,37,37,Not applicable,Not applicable,45
76667,120,8,Yes,Dansk Folkeparti - Danish People's Party,1964,60,Male,1944,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",11,7,35,Not applicable,Not applicable,53
76690,60,9,Yes,SF Socialistisk Folkeparti - Socialist People's Party,1963,No answer,Male,1943,Universitetsbachelor. 1. del af kandidatuddannelse,8,37,37,Not applicable,Not applicable,72
76768,45,6,Yes,Socialdemokratiet - The Social democrats,1968,67,Female,1948,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",15,37,45,Not applicable,Not applicable,55
76803,600,8,Not eligible to vote,Not applicable,"Still in parental home, never left 2 months",Don't know,Male,2002,Folkeskole 9.-10. klasse,10,Not applicable,Not applicable,Not applicable,Not applicable,47
76848,30,5,Yes,Socialdemokratiet - The Social democrats,1976,65,Male,1960,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",18,37,37,27000,35000,69
76854,120,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1971,60,Male,1953,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",15,37,55,Not applicable,Not applicable,52
76863,300,4,No,Not applicable,2018,55,Male,1997,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",Don't know,37,37,Not applicable,Not applicable,35
76958,90,6,Yes,Det Radikale Venstre - The Radical Liberal Party,1982,60,Male,1959,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",15,37,42,Not applicable,Not applicable,51
76965,30,8,Yes,Socialdemokratiet - The Social democrats,1962,Don't know,Male,1940,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",18,37,37,Not applicable,Not applicable,78
77062,60,9,Yes,Refusal,1966,Don't know,Female,1947,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",20,37,37,Not applicable,Not applicable,74
77093,61,8,Yes,Det Konservative Folkeparti - Conservative People's Party,1983,67,Male,1966,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,37,45,62000,Not applicable,63
77138,360,8,Yes,Liberal Alliance - Liberal Alliance,1993,60,Male,1976,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",19,38,45,1500000,Not applicable,69
77153,240,8,Yes,Liberal Alliance - Liberal Alliance,2000,60,Female,1981,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",4,37,40,35000,40000,76
77167,120,9,Yes,Socialdemokratiet - The Social democrats,1982,50,Male,1963,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,20,23,28000,Not applicable,66
77198,48,8,Yes,Socialdemokratiet - The Social democrats,1966,62,Female,1949,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",15,37,37,Not applicable,Not applicable,50
77275,600,8,Yes,Socialdemokratiet - The Social democrats,2001,50,Male,1979,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",18,37,40,51000,Not applicable,66
77284,30,7,No,Not applicable,1944,50,Male,1929,Folkeskole 6.-8. klasse,1,37,42,Not applicable,Not applicable,102
77301,Not applicable,9,Yes,Det Konservative Folkeparti - Conservative People's Party,1975,50,Female,1958,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,30,40,30000,35000,51
77371,61,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1986,65,Male,1964,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",20,37,45,888,Don't know,78
77400,480,9,Yes,Don't know,1981,Never too young,Female,1963,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,37,28000,29000,76
77420,120,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1989,50,Female,1971,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",2,12,12,21000,Not applicable,47
77445,240,4,Yes,Dansk Folkeparti - Danish People's Party,1978,50,Female,1960,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,37,24000,32000,41
77627,180,7,Yes,Liberal Alliance - Liberal Alliance,2008,59,Male,1986,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",16,37,43,33000,38000,62
77693,60,8,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1978,Never too young,Male,1962,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",14,37,37,28000,Not applicable,40
77736,240,8,Yes,Alternativet - The Alternative,1998,50,Female,1983,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",17,12,12,Not applicable,Not applicable,77
77785,121,7,Yes,Dansk Folkeparti - Danish People's Party,1986,59,Male,1963,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",10,37,37,29000,Not applicable,57
77833,240,8,Yes,Dansk Folkeparti - Danish People's Party,1966,55,Female,1950,Folkeskole 6.-8. klasse,7,48,48,Not applicable,Not applicable,44
77940,230,7,Yes,Socialdemokratiet - The Social democrats,1975,Never too young,Male,1955,Folkeskole 9.-10. klasse,0,37,37,Not applicable,Not applicable,84
78061,60,9,Yes,Enhedslisten - Unity List - The Red-Green Alliance,1949,Should never be in paid work,Male,1935,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",9,37,38,Not applicable,Not applicable,59
78179,150,8,Yes,Enhedslisten - Unity List - The Red-Green Alliance,1970,65,Male,1949,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",4,10,40,Not applicable,Not applicable,50
78485,510,8,Yes,Socialdemokratiet - The Social democrats,2003,60,Female,1983,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",19,37,37,40500,Not applicable,61
78563,150,8,Yes,Socialdemokratiet - The Social democrats,1967,59,Male,1947,"Forskeruddannelse. Ph.d., doktor",19,30,37,90000,Not applicable,48
78605,90,7,Yes,Don't know,1972,Don't know,Male,1952,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",17,37,40,Not applicable,Not applicable,55
78613,120,4,Yes,Socialdemokratiet - The Social democrats,1984,Don't know,Male,1965,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,16,16,Not applicable,Not applicable,48
78714,Not applicable,6,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1992,17,Male,1974,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",6,37,40,30000,Not applicable,47
78728,90,7,Yes,Socialdemokratiet - The Social democrats,1965,40,Male,1947,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",15,35,45,Not applicable,Not applicable,71
78838,120,7,Yes,Alternativet - The Alternative,2010,55,Female,1988,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",17,37,37,26000,30000,67
78996,120,7,Yes,Socialdemokratiet - The Social democrats,1984,60,Male,1967,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",19,37,41,28000,30000,65
79006,660,8,Not eligible to vote,Not applicable,"Still in parental home, never left 2 months",60,Female,2000,Folkeskole 9.-10. klasse,10,12,12,6500,Not applicable,48
79054,120,9,Yes,Socialdemokratiet - The Social democrats,1997,60,Male,1976,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",17,37,50,33000,38000,54
79126,90,7,Yes,Det Radikale Venstre - The Radical Liberal Party,1961,60,Male,1930,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",23,37,37,Not applicable,Not applicable,85
79130,120,8,Yes,Socialdemokratiet - The Social democrats,1959,62,Female,1940,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",17,50,50,Not applicable,Not applicable,45
79296,Not applicable,6,Yes,SF Socialistisk Folkeparti - Socialist People's Party,1992,60,Male,1974,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",17,41,41,30000,36000,67
79300,480,6,Not eligible to vote,Not applicable,"Still in parental home, never left 2 months",40,Male,1998,"Gymnasielle uddannelser, studentereksamen, HF, HHX, HTX",12,37,37,5500,Not applicable,51
79301,300,8,Yes,Det Radikale Venstre - The Radical Liberal Party,1993,60,Female,1973,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",16,37,41,37800,41000,62
79357,480,7,No,Not applicable,"Still in parental home, never left 2 months",55,Male,2000,Folkeskole 9.-10. klasse,12,10,10,Not applicable,Not applicable,57
79376,Not applicable,6,No,Not applicable,1978,55,Male,1959,Folkeskole 6.-8. klasse,0,37,37,Not applicable,Not applicable,47
79460,90,9,Yes,Don't know,1988,Don't know,Female,1974,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",14,32,32,28000,Not applicable,69
79520,360,5,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1977,50,Male,1956,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",12,37,37,44000,Not applicable,64
79533,180,7,Yes,"Venstre, Danmarks Liberale Parti - The Liberal Party",1974,57,Female,1955,Folkeskole 9.-10. klasse,10,37,37,40000,Not applicable,47
79550,180,3,Yes,Enhedslisten - Unity List - The Red-Green Alliance,2016,30,Female,1997,"Kort erhvervsuddannelse under 1-2 års varighed, F.eks. AMU Arbejdsmarkedsuddann",14,30,30,18000,20000,52
79596,180,3,Yes,Dansk Folkeparti - Danish People's Party,1970,60,Male,1951,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",2,37,45,Not applicable,Not applicable,68
79851,210,3,Yes,Det Konservative Folkeparti - Conservative People's Party,1983,65,Male,1965,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",14,37,37,34000,Not applicable,73
79882,Not applicable,7,Yes,Socialdemokratiet - The Social democrats,1955,25,Female,1941,Folkeskole 6.-8. klasse,0,35,35,Not applicable,Not applicable,90
79975,30,8,Yes,Kristendemokraterne - Christian Democrats,1972,67,Female,1955,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,37,37,19500,Not applicable,48
80016,150,7,Yes,Dansk Folkeparti - Danish People's Party,1977,60,Male,1959,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",13,37,55,Not applicable,Not applicable,95
80032,180,7,Yes,Alternativet - The Alternative,2006,Don't know,Male,1986,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",18,37,37,28000,35000,44
80037,366,1,Yes,Don't know,1972,Don't know,Female,1957,"Faglig uddannelse (håndværk, handel, landbrug mv.), F.eks. Faglærte, Social-",15,35,35,Not applicable,Not applicable,75
80081,60,4,Yes,Socialdemokratiet - The Social democrats,1990,Don't know,Female,1970,"Kort videregående uddannelse af op til 2-3 års varighed, F.eks. Erhvervsakadem",17,37,37,45000,Not applicable,65
80103,600,9,Not eligible to vote,Not applicable,2004,60,Male,1984,"Lang videregående uddannelse. Kandidatuddannelser af 5.-6. års varighed, F.eks",16,38,41,45000,Not applicable,62
80114,240,8,Yes,Alternativet - The Alternative,2004,Don't know,Female,1984,"Forskeruddannelse. Ph.d., doktor",22,37,50,35000,40000,172
80132,60,8,Yes,Det Radikale Venstre - The Radical Liberal Party,1951,Refusal,Male,1937,"Mellemlang videregående uddannelse af 3-4 års varighed. Professionsbachelorer,",6,37,37,Not applicable,Not applicable,79
